House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs,359
House - Resources | Senate - Energy and Natural Resources,236
House - Judiciary | Senate - Judiciary,183
House - Government Reform | Senate - Governmental Affairs,161
House - Appropriations,120
House - Judiciary,117
House - Veterans' Affairs | Senate - Veterans' Affairs,114
House - Transportation and Infrastructure | Senate - Environment and Public Works,103
House - Ways and Means,103
House - Resources,99
House - Energy and Commerce,94
House - Oversight and Reform | Senate - Homeland Security and Governmental Affairs,87
House - Transportation and Infrastructure,85
House - Government Reform | Senate - Homeland Security and Governmental Affairs,83
House - Oversight and Government Reform,82
"House - Financial Services | Senate - Banking, Housing, and Urban Affairs",80
Senate - Judiciary,76
House - Natural Resources | Senate - Energy and Natural Resources,70
House - Natural Resources,68
House - Financial Services,58
House - Government Reform,57
Senate - Homeland Security and Governmental Affairs,56
"Senate - Health, Education, Labor, and Pensions",56
"House - Energy and Commerce | Senate - Health, Education, Labor, and Pensions",54
"Senate - Commerce, Science, and Transportation",54
House - Appropriations | Senate - Appropriations,47
Senate - Energy and Natural Resources,44
House - Veterans' Affairs,44
Senate - Veterans' Affairs,42
House - Foreign Affairs | Senate - Foreign Relations,42
Senate - Environment and Public Works,41
House - Natural Resources | Senate - Indian Affairs,36
House - House Administration,34
"House - Appropriations, Budget",34
House - House Administration | Senate - Rules and Administration,33
House - International Relations | Senate - Foreign Relations,33
Senate - Foreign Relations,32
House - Education and the Workforce,32
"Senate - Banking, Housing, and Urban Affairs",31
House - Resources | Senate - Environment and Public Works,30
"House - Energy and Commerce | Senate - Commerce, Science, and Transportation",28
House - Resources | Senate - Indian Affairs,27
House - Ways and Means | Senate - Finance,24
House - Armed Services,23
"House - Transportation and Infrastructure | Senate - Commerce, Science, and Transportation",22
House - Small Business,19
Senate - Indian Affairs,19
House - Homeland Security | Senate - Homeland Security and Governmental Affairs,19
House - Agriculture,19
"House - Transportation and Infrastructure, Ways and Means",19
"House - Education and the Workforce | Senate - Health, Education, Labor, and Pensions",18
"House - Agriculture | Senate - Agriculture, Nutrition, and Forestry",17
House - Transportation and Infrastructure | Senate - Homeland Security and Governmental Affairs,16
House - Energy and Commerce | Senate - Energy and Natural Resources,16
House - Education and Labor,13
House - Commerce,13
"House - Science, Space, and Technology | Senate - Commerce, Science, and Transportation",13
House - Natural Resources | Senate - Environment and Public Works,13
House - Foreign Affairs,13
House - International Relations,12
House - Armed Services | Senate - Armed Services,12
"House - Energy and Commerce, Ways and Means",11
"House - Ways and Means, Budget",11
House - Small Business | Senate - Small Business and Entrepreneurship,10
Senate - Governmental Affairs,10
Senate - Finance,9
House - Banking and Financial Services,9
"House - Homeland Security | Senate - Commerce, Science, and Transportation",9
"House - Ways and Means, Energy and Commerce",8
"House - Resources, Agriculture",8
"House - Financial Services, House Administration | Senate - Banking, Housing, and Urban Affairs",8
"House - Banking and Financial Services | Senate - Banking, Housing, and Urban Affairs",7
"House - Financial Services, House Administration",7
House - Oversight and Reform,7
House - Science,7
"House - Transportation and Infrastructure, Ways and Means, Resources, Science",6
"House - Veterans' Affairs, Armed Services | Senate - Veterans' Affairs",6
House - Intelligence (Permanent Select),6
"House - Education and Labor | Senate - Health, Education, Labor, and Pensions",6
"House - Energy and Commerce, Judiciary",6
"House - Judiciary, Intelligence (Permanent Select)",6
"House - Science, Space, and Technology",6
"House - Science | Senate - Commerce, Science, and Transportation",6
"Senate - Agriculture, Nutrition, and Forestry",5
"House - Ways and Means, Energy and Commerce | Senate - Finance",5
"House - Natural Resources, Energy and Commerce | Senate - Indian Affairs",5
House - Budget,5
House - Energy and Commerce | Senate - Environment and Public Works,5
Senate - Small Business and Entrepreneurship,5
House - Homeland Security,5
"House - Judiciary, Energy and Commerce | Senate - Judiciary",5
Senate - Armed Services,5
"House - Energy and Commerce, Judiciary | Senate - Judiciary",5
Senate - Rules and Administration,5
"House - Natural Resources | Senate - Commerce, Science, and Transportation",5
"House - Financial Services, Budget",4
"House - Foreign Affairs, Judiciary | Senate - Foreign Relations",4
"House - Judiciary | Senate - Health, Education, Labor, and Pensions, Judiciary",4
"House - Resources, Agriculture | Senate - Energy and Natural Resources",4
"House - Transportation and Infrastructure, Ways and Means, Science, Resources",4
"House - Agriculture, Foreign Affairs",4
House - Judiciary | Senate - Homeland Security and Governmental Affairs,4
House - Government Reform | Senate - Judiciary,4
House - Financial Services | Senate - Indian Affairs,4
"House - Commerce | Senate - Health, Education, Labor, and Pensions",3
"House - Natural Resources | Senate - Agriculture, Nutrition, and Forestry",3
"House - Appropriations, Budget, Ways and Means",3
House - Small Business | Senate - Small Business,3
"House - Judiciary, Education and the Workforce | Senate - Judiciary",3
"House - Energy and Commerce, Transportation and Infrastructure",3
House - Commerce | Senate - Energy and Natural Resources,3
"House - Energy and Commerce, Education and the Workforce",3
"House - Agriculture, Natural Resources",3
"House - Energy and Commerce, Ways and Means | Senate - Finance",3
House - Armed Services | Senate - Judiciary,3
House - Intelligence (Permanent Select) | Senate - Intelligence (Select),3
"House - Energy and Commerce, Judiciary | Senate - Health, Education, Labor, and Pensions",3
House - Energy and Commerce | Senate - Finance,3
"House - Transportation and Infrastructure, Ways and Means, Natural Resources, Science, Space, and Technology, Energy and Commerce",3
House - Judiciary | Senate - Governmental Affairs,3
Senate - Intelligence (Select),3
"House - Transportation and Infrastructure, Energy and Commerce | Senate - Commerce, Science, and Transportation",3
"House - Resources | Senate - Commerce, Science, and Transportation",3
"House - Veterans' Affairs, Budget",3
"House - Ways and Means, Education and the Workforce",3
"House - Financial Services, Ways and Means",3
"House - Ways and Means, Financial Services",2
"House - Energy and Commerce, Ways and Means, Education and Labor",2
"House - Transportation and Infrastructure | Senate - Health, Education, Labor, and Pensions",2
"House - Oversight and Government Reform, Armed Services | Senate - Homeland Security and Governmental Affairs",2
"House - International Relations, Financial Services, Ways and Means, Government Reform",2
"House - Transportation and Infrastructure, Homeland Security | Senate - Homeland Security and Governmental Affairs",2
